storm identifier,report ID,date,year,month,day,time,error,type,mag,state,county,radar,slat,slon,elat,elon,start_time (start time of storm analysis),end_time (end time of storm analysis),start_lat (start lat of storm analysis),start_lon (start lon of storm analysis),end_lat (end lat of storm analysis),end_lon (end lon of storm analysis),bndy,hcr,merger,merger_times (separated by spaces � HHMM),bndy orientation (degrees ... included if there is a boundary or HCRs),do_not_include,notes (NO COMMAS),,,,,,
20030504-storm1,2003-T-001036-01,5/4/03,2003,5,4,2304,,TORNADO,2,MO,Cass,KEAX,38.58,-94.22,38.6,-94.15,,,,,,,0,0,,,,1,NO KEAX DATA (???),,,,,,
20030504-storm2,2003-H-006589-00,5/5/03,2003,5,5,26,,HAIL,250,MO,Lawrence,KSGF,37.12,-93.7,,,2357,143,,,,,0,0,0,,,,36.9498 -94.0819 37.2600 -92.6490 - Pierce City F3 storm,,,,,,
20030504-storm2,2003-T-000243-03,5/5/03,2003,5,5,35,,TORNADO,3,MO,Christian,KSGF,37.02,-93.63,37.08,-93.4,2357,143,,,,,0,0,0,,,1,same as storm2,,,,,,
20030504-storm2,2003-T-000256-01,5/5/03,2003,5,5,120,,TORNADO,0,MO,Webster,KSGF,37.13,-93.03,37.13,-93.03,2357,143,,,,,0,0,0,,,1,same as storm2,,,,,,
20030506-storm1,2003-T-000811-01,5/7/03,2003,5,7,232,,TORNADO,4,IL,Pulaski,KPAH,37.27,-89.03,37.27,-88.93,116,357,,,,,0,0,1,0141 0206 0216 0221 0226 ,,,37.0237 -89.5873 37.4209 -88.3185 - this storm is absolutely wild,,,,,,
20030506-storm1,2003-T-000811-02,5/7/03,2003,5,7,240,,TORNADO,4,IL,Massac,KPAH,37.23,-88.93,37.32,-88.7,,,,,,,0,0,1,,,1,same as storm1,,,,,,
20030506-storm1,2003-W-002141-01,5/7/03,2003,5,7,300,,WIND,104,IL,Massac,KPAH,37.25,-88.73,,,,,,,,,0,0,1,,,1,same as storm1,,,,,,
20030506-storm1,2003-T-000811-03,5/7/03,2003,5,7,314,,TORNADO,3,IL,Pope,KPAH,37.3,-88.68,37.38,-88.48,,,,,,,0,0,1,,,1,same as storm1,,,,,,
20030507-storm1,2003-T-001116-01,5/7/03,2003,5,7,1945,,TORNADO,1,AL,Shelby,KBMX,33.2,-86.47,33.2,-86.47,1811,2037,,,,,0,0,1,2011,,,32.9427 -87.2548 33.2398 -86.0036 - right turn right over KBMX,,,,,,
20030507-storm2,2003-W-010571-01,5/8/03,2003,5,8,19,,WIND,70,TX,Shackelford,KDYX,32.53,-99.55,,,,,,,,,0,0,,,,1,NO KDYX RADAR DATA,,,,,,
20030507-storm2,2003-T-000151-01,5/8/03,2003,5,8,100,,TORNADO,0,TX,Eastland,KDYX,32.4,-98.98,32.42,-98.98,,,,,,,0,0,,,,1,NO KDYX RADAR DATA,,,,,,
20030507-storm3,2003-T-000371-01,5/8/03,2003,5,8,318,,TORNADO,0,TX,Wilbarger,KFDR,34.32,-99.25,34.32,-99.25,219,522,,,,,0,0,1,0353 0408 0517,,,34.2155 -99.7288 34.3838 -98.1845,,,,,,
20030508-storm1,2003-T-001127-01,5/8/03,2003,5,8,2200,,TORNADO,0,OK,McClain,KTLX,35.3,-97.62,35.3,-97.62,2116,2334,,,,,0,0,0,,,,35.1421 -98.0298 35.6633 -96.6106,,,,,,
20030508-storm2,2003-H-006874-00,5/9/03,2003,5,9,205,,HAIL,200,MO,Cass,KEAX,38.48,-94.2,,,126,300,,,,,0,0,0,,,,38.2433 -94.6740 38.8283 -92.4205 - both growing upscale and moving out of range,,,,,,
20030508-storm2,2003-T-001046-01,5/9/03,2003,5,9,221,,TORNADO,0,MO,Henry,KEAX,38.52,-94,38.52,-93.93,126,300,,,,,0,0,0,,,1,same as storm2,,,,,,
20030508-storm2,2003-T-001046-02,5/9/03,2003,5,9,222,,TORNADO,0,MO,Johnson,KEAX,38.58,-94.08,38.58,-94.05,126,300,,,,,0,0,0,,,1,same as storm2,,,,,,
20030509-storm1,2003-T-001152-01,5/9/03,2003,5,9,2050,,TORNADO,0,VA,Southampton,KAKQ,36.75,-77.33,36.73,-77.32,1959,2139,,,,,0,0,0,,,,37.1460 -77.8102 36.3194 -76.9379 - this storm be hella thicc - would have made a hell of a boundary case too,,,,,,
20030509-storm2,2003-H-003362-00,5/10/03,2003,5,10,215,1,HAIL,250,IN,Kosciusko,KIWX,41.13,-85.72,,,136,351,,,,,0,0,0,,,,41.0834 -86.0202 41.1979 -84.8748 - start time and location is the best possible estimate of when the right-split truly begins to acquire supercellular characteristics,,,,,,
20030509-storm2,2003-T-000121-01,5/10/03,2003,5,10,215,,TORNADO,1,IN,Kosciusko,KIWX,41.13,-85.72,41.13,-85.72,136,351,,,,,0,0,0,,,1,same as storm2,,,,,,
20030509-storm2,2003-H-003368-00,5/10/03,2003,5,10,239,1,HAIL,425,IN,Whitley,KIWX,41.2,-85.48,,,136,351,,,,,0,0,0,,,1,same as storm2,,,,,,
20030509-storm3,2003-T-001137-01,5/10/03,2003,5,10,329,,TORNADO,3,OK,Oklahoma,KTLX,35.55,-97.48,35.63,-97.2,220,508,,,,,0,0,1,0230 0240 0250 0255 0304 0309 0319 0334 0344 0409 0414 ,,,35.3634 -98.0923 35.7501 -96.6735 - new supercell forming on RFDGF before end of analysis period - complicated series of mergers into the FF region of storm,,,,,,
20030509-storm4,2003-T-001051-01,5/10/03,2003,5,10,352,,TORNADO,0,MO,Johnson,KEAX,38.75,-93.85,38.75,-93.83,250,416,,,,,0,0,1,406,,,38.4898 -94.5685 38.8223 -93.4803 - first clear signs of supercell characteristics at around 0250 UTC - probably techinically an RM in cluster after merger but moves quickly out of range afterward,,,,,,
20030509-storm3,2003-T-001136-01,5/10/03,2003,5,10,406,,TORNADO,1,OK,Oklahoma,KTLX,35.62,-97.2,35.63,-97.15,220,508,,,,,0,0,1,0230 0240 0250 0309 0319 0334 0344 0409 0414 ,,1,same as storm3,,,,,,
20030510-storm1,2003-H-006919-00,5/10/03,2003,5,10,1645,,HAIL,250,MO,St.Louis,KLSX,38.57,-90.37,,,1616,1721,,,,,0,0,1,1626 1706,,,38.5256 -90.7137 38.5467 -89.8754 - two cells merge to form discrete cell behind gust front from remnant MCS - analysis began after merger,,,,,,
20030514-storm1,2003-H-012644-00,5/15/03,2003,5,15,525,,HAIL,275,TX,Johnson,KFWS,32.35,-97.4,,,402,700,,,,,0,0,1,631,,,32.5921 -97.8840 32.0165 -96.8645 - almost a cell merger just after 0500 UTC but would-be merging cell dies out,,,,,,
20030515-storm1,2003-T-001002-01,5/16/03,2003,5,16,159,,TORNADO,1,TX,Shackelford,KDYX,32.57,-99.5,32.57,-99.5,,,,,,,0,0,,,,1,NO KDYX RADAR DATA,,,,,,
20030516-storm1,2003-T-000352-01,5/16/03,2003,5,16,2339,,TORNADO,2,AR,Saline,KLZK,34.57,-92.55,34.62,-92.52,,,,,,,0,0,,,,1,NO KLZK RADAR DATA,,,,,,
20030517-storm1,2003-T-000915-01,5/17/03,2003,5,17,2230,,TORNADO,0,IN,Harrison,KLVX,38.08,-86.27,38.1,-86.27,2145,2356,,,,,0,0,0,,,,37.9053 -86.2762 38.3944 -86.2735 - cell forms on rear flank of previous storm and quickly becomes dominant - analysis ended as upscale growth occurs - no distinct cell mergers but this is a minisupercell in pre-super-res and embedded in precip so there is some uncertainty,,,,,,
20030528-storm1,2003-H-002954-00,5/28/03,2003,5,28,2105,,HAIL,275,IL,DeWitt,KILX,40.15,-88.95,,,1931,2140,,,,,0,0,1,2011 2016 2021 2121 2126,,,40.8094 -89.5122 39.8534 -88.8625 - end of analysis time approximates loss of supercellular characteristics - mergers are complex and somewhat hard to define,,,,,,
20030530-storm1,2003-T-000905-02,5/31/03,2003,5,31,110,,TORNADO,0,IL,Tazewell,KILX,40.35,-89.7,40.33,-89.6,32,241,,,,,0,0,0,,,,40.4550 -90.1118 39.9979 -88.5208 - could make the argument for a merger around 0111 but the cell forms in the meso/inflow region of an LP/classic hybrid and it's hard to argue that it is not part of a process internal to the primary storm in the first place,,,,,,
20030530-storm1,2003-T-000906-01,5/31/03,2003,5,31,122,,TORNADO,0,IL,Logan,KILX,40.28,-89.52,40.25,-89.43,32,241,,,,,0,0,0,,,1,same as storm1,,,,,,
20030530-storm1,2003-T-000909-01,5/31/03,2003,5,31,151,,TORNADO,2,IL,DeWitt,KILX,40.15,-89.08,40.1,-88.85,32,241,,,,,0,0,0,,,1,same as storm1,,,,,,
20030601-storm1,2003-H-012828-00,6/1/03,2003,6,1,2248,,HAIL,250,TX,TomGreen,KSJT,31.63,-100.43,,,,,,,,,0,0,,,,1,NO KSJT RADAR DATA,,,,,,
20030604-storm1,2003-T-001227-01,6/5/03,2003,6,5,159,,TORNADO,0,NM,Curry,KFDX,34.47,-103.27,34.47,-103.27,,,,,,,0,0,,,,1,NO KFDX RADAR DATA,,,,,,
20030614-storm1,2003-T-000299-01,6/14/03,2003,6,14,2333,,TORNADO,0,KS,Sherman,KGLD,39.4,-102.07,39.4,-102.07,,,,,,,0,0,,,,1,cell does not appear to be a RM supercell at the time of the report - tornado time coincides with surging outflow from the east passing thru apparent single or multi-cell storm but low-level rotation never becomes discernible on radar - tornado thus likely a landspout - storm may acquire RM characteristics after report and after boundary passes completely thru it but difficult to judge - tossing since storm does not appear to be supercell at time of report,,,,,,
20030622-storm1,2003-H-004296-00,6/22/03,2003,6,22,2110,,HAIL,300,KS,Johnson,KEAX,38.98,-94.67,,,1940,2151,,,,,0,0,1,2050,,,38.9022 -95.0895 38.8757 -94.4381 - 2050 cell merger is marginal but peak Z appears to increase back above 40 dBZ in merging cell right before merger - no discernible low-level meso after 2151 UTC,,,,,,
20030630-storm1,2003-W-004203-01,7/1/03,2003,7,1,320,,WIND,70,MD,Montgomery,KLWX,39.02,-77.22,,,227,407,,,,,0,0,0,,,,39.1641 -77.5505 38.9609 -77.0614 - cell appears to begin acquiring supercellular characteristics around 0227 UTC - storm begins losing supercellular characteristics as it enters nrn DC - no clear mergers,,,,,,
20030706-storm1,2003-W-001885-01,7/6/03,2003,7,6,1837,,WIND,65,IA,Muscatine,KDVN,41.6,-90.98,,,1755,1902,,,,,0,0,1,1816 1825 1852,,,41.5879 -91.4518 41.5145 -90.7441 - storm clearly loses supercell characteristics after this time - maybe sooner,,,,,,
20030709-storm1,2003-T-000604-01,7/9/03,2003,7,9,1752,,TORNADO,0,WV,Jefferson,KLWX,39.25,-77.78,39.22,-77.9,1716,2028,,,,,0,0,0,,,,39.2841 -78.2237 38.8773 -76.9868 - no clear mergers - last decent LL meso at 2028 UTC,,,,,,
20030709-storm1,2003-T-000361-01,7/9/03,2003,7,9,1820,,TORNADO,1,VA,Loudoun,KLWX,39.13,-77.82,39.07,-77.55,1716,2028,,,,,0,0,0,,,1,same as storm1,,,,,,
20030720-storm1,2003-H-005589-00,7/20/03,2003,7,20,1645,1,HAIL,200,MI,Ottawa,KGRR,42.87,-85.88,,,1524,1820,,,,,0,0,1,1730,,,43.1030 -86.4056 42.3210 -85.1221 - azshr track looks good relative to GRR radar but not sure why there are negative max values at 1650 and 1654 UTC,,,,,,
20030731-storm1,2003-H-007207-00,7/31/03,2003,7,31,2243,,HAIL,275,MO,Webster,KSGF,37.12,-93.07,,,2009,2319,,,,,0,0,1,2204,,,37.8016 -93.2535 37.3346 -92.9565 - original report was at 2143 but it is clearly an hour off - can't find meso after 2319 UTC - marginal supercell,,,,,,
20030812-storm1,2003-T-000617-01,8/12/03,2003,8,12,2150,,TORNADO,0,FL,Leon,KTLH,30.43,-84.57,30.47,-84.53,2012,2302,,,,,0,0,1,2027 2052 2102 2119 ,,,30.1603 -85.0523 30.6582 -84.1820 - cell dies out,,,,,,
20030818-storm1,2003-H-008280-00,8/18/03,2003,8,18,2200,1,HAIL,200,NC,Johnston,KRAX,35.38,-78.55,,,2125,2242,,,,,0,0,1,2151,,,35.4986 -78.5173 35.2328 -78.5539 - KRAX data gap 2103 to 2125 UTC - merger is a decaying cell getting absorbed into FF region - analysis ended when RF cell overtakes original supercell,,,,,,
20030822-storm1,2003-W-003867-01,8/22/03,2003,8,22,1852,,WIND,65,KY,Wolfe,KJKL,37.77,-83.5,,,,,,,,,0,0,,,,1,NO KJKL RADAR DATA,,,,,,
20030907-storm1,2003-T-000638-01,9/8/03,2003,9,8,650,,TORNADO,0,TX,Martin,KMAF,32.15,-102.15,32.15,-102.15,526,704,,,,,0,0,1,648,,,32.5463 -102.3592 32.1057 -102.0932 - storm acquires supercellular characteristics after merger - analysis ended after merger leads to upscale growth into multicell segment - marginal supercell,,,,,,
20030907-storm1,2003-W-011153-01,9/8/03,2003,9,8,705,,WIND,78,TX,Martin,KMAF,32.3,-102.18,,,526,704,,,,,0,0,1,648,,1,same as storm1,,,,,,
20031008-storm1,2003-H-002039-00,10/9/03,2003,10,9,107,,HAIL,250,GA,Clinch,KVAX,31.03,-82.75,,,,,,,,,0,0,,,,1,NO KVAX RADAR DATA,,,,,,
20031118-storm1,2003-H-010742-00,11/18/03,2003,11,18,1550,,HAIL,275,OK,Tulsa,KINX,36.15,-95.95,,,,,,,,,0,0,,,,1,INSUFFICIENT KINX RADAR DATA,,,,,,
20031126-storm1,2003-T-000685-02,11/27/03,2003,11,27,415,,TORNADO,1,LA,Vernon,KPOE,30.9,-93.1,30.92,-93.08,,,,,,,0,0,,,,1,NO KPOE RADAR DATA,,,,,,
20040317-storm1,2004-H-008947-01,3/18/04,2004,3,18,5,,HAIL,200,OK,Wagoner,KINX,36.03,-95.73,,,231803,14321,36.0296,-95.9963,35.6444,-95.0677,0,0,1,29,,,,,,,,,
20040403-storm1,2004-H-007770-01,4/4/04,2004,4,4,58,,HAIL,200,NM,DonaAna,KEPZ,32.07,-106.42,,,5343,14004,32.0498,-106.4011,32.3318,-106.469,0,0,0,,,,,,,,,,
20040406-storm1,2004-T-000866-01,4/6/04,2004,4,6,1541,,TORNADO,0,TX,Kleberg,KCRP,27.52,-97.37,27.52,-97.37,142818,163219,27.373,-97.586,27.6866,-97.1943,0,0,1,1617,,,,,,,,,
20040418-storm1,2004-H-010232-01,4/18/04,2004,4,18,2220,,HAIL,275,SD,Lincoln,KFSD,43.45,-96.92,,,214417,230830,43.2423,-97.525,43.6672,-95.8058,0,0,0,,,,,,,,,,
20040420-storm1,2004-T-000828-02,4/20/04,2004,4,20,2240,,TORNADO,1,IN,Boone,KIND,39.93,-86.63,39.95,-86.6,,,39.93,-86.63,,,0,0,,,,1,Radar data not available,,,,,,
20040420-storm2,2004-T-000817-01,4/21/04,2004,4,21,10,,TORNADO,0,IL,Grundy,KLOT,41.4,-88.33,41.42,-88.3,,,41.4,-88.33,,,0,0,,,,1,Radar data not available,,,,,,
20040421-storm1,2004-H-009235-01,4/22/04,2004,4,22,225,,HAIL,200,OK,Alfalfa,KVNX,36.62,-98.42,,,3559,31701,36.6191,-98.8983,36.6428,-98.1708,0,0,0,,,,,,,,,,
20040422-storm1,2004-T-000844-01,4/22/04,2004,4,22,2053,,TORNADO,0,OK,Wagoner,KINX,36.07,-95.75,36.07,-95.72,203814,225931,36.0745,-95.7854,36.2593,-95.0667,0,0,0,,,,,,,,,,
20040422-storm2,2004-T-000840-01,4/22/04,2004,4,22,2155,,TORNADO,1,OK,Mayes,KINX,36.12,-95.35,36.15,-95.23,,,36.12,-95.35,,,0,0,,,,1,duplicate,,,,,,
20040422-storm3,2004-T-000841-01,4/22/04,2004,4,22,2238,,TORNADO,0,OK,Wagoner,KINX,35.95,-95.57,35.95,-95.55,221247,231215,35.9536,-95.7127,36.0056,-95.4719,0,0,1,2217 2255,,,,,,,,,
20040423-storm1,2004-T-000027-01,4/23/04,2004,4,23,1959,,TORNADO,0,OK,Tillman,KFDR,34.22,-98.7,34.22,-98.7,185605,211435,34.1414,-99.1372,34.3947,-98.174,0,0,1,1920 1954 2045,,,,,,,,,
20040428-storm1,2004-T-000032-01,4/29/04,2004,4,29,220,,TORNADO,0,TX,Kinney,KDFX,29.32,-100.5,29.33,-100.48,,,29.32,-100.5,,,0,0,,,,1,radar missing,,,,,,
20040430-storm1,2004-H-011515-01,4/30/04,2004,4,30,1924,,HAIL,275,TX,Shackelford,KDYX,32.73,-99.53,,,,,32.73,-99.53,,,0,0,,,,1,radar missing,,,,,,
20040430-storm2,2004-H-011518-01,4/30/04,2004,4,30,1940,,HAIL,300,TX,Shackelford,KDYX,32.73,-99.38,,,,,32.73,-99.38,,,0,0,,,,1,duplicate & radar missing,,,,,,
20040430-storm3,2004-H-011519-01,4/30/04,2004,4,30,2001,,HAIL,275,TX,Shackelford,KDYX,32.73,-99.3,,,,,32.73,-99.3,,,0,0,,,,1,duplicate & radar missing,,,,,,
20040502-storm1,2004-T-000074-01,5/2/04,2004,5,2,2115,,TORNADO,1,NC,Harnett,KRAX,35.5,-78.87,35.5,-78.87,,,35.5,-78.87,,,0,0,,,,1,radar missing,,,,,,
20040510-storm1,2004-H-000513-01,5/11/04,2004,5,11,2,,HAIL,275,CO,Weld,KCYS,40.9,-104.88,,,233439,2925,40.8134,-104.7916,41.0768,-104.8781,0,0,0,,,,,,,,,,
20040510-storm2,2004-T-001115-01,5/11/04,2004,5,11,4,,TORNADO,0,CO,Weld,KCYS,40.92,-104.78,40.92,-104.78,,,40.92,-104.78,,,0,0,,,,1,duplicate,,,,,,
20040510-storm3,2004-H-013111-01,5/11/04,2004,5,11,135,,HAIL,275,WY,Laramie,KCYS,41.13,-105.08,,,5854,20206,40.9645,-105.1442,41.3175,-105.0081,0,0,0,,,,,,,,,,
20040519-storm1,2004-T-001104-01,5/19/04,2004,5,19,2251,,TORNADO,0,ND,GrandForks,KMVX,47.75,-97.7,47.75,-97.7,221405,235520,47.6851,-98.0552,47.754,-96.8412,0,0,0,,,,,,,,,,
20040519-storm2,2004-T-001105-01,5/19/04,2004,5,19,2318,,TORNADO,0,ND,GrandForks,KMVX,47.73,-97.47,47.73,-97.47,,,47.73,-97.47,,,0,0,,,,1,duplicate,,,,,,
20040519-storm1,2004-T-001107-01,5/19/04,2004,5,19,2339,,TORNADO,0,ND,GrandForks,KMVX,47.77,-97.13,47.77,-97.13,,,47.77,-97.13,,,0,0,,,,1,duplicate,,,,,,
20040522-storm1,2004-H-007113-01,5/22/04,2004,5,22,2257,,HAIL,300,NE,Blaine,KLNX,41.97,-100.27,,,203958,231525,41.7595,-101.4486,41.9188,-100.0639,0,0,1,2057 2204,,,,,,,,,
20040522-storm2,2004-H-002525-01,5/22/04,2004,5,22,2358,,HAIL,275,IA,Boone,KDMX,41.92,-93.85,,,233051,14137,41.9078,-93.9652,41.9228,-93.2572,0,0,1,2156 0112 0126,,,,,,,,,
20040522-storm3,2004-H-002529-01,5/23/04,2004,5,23,2,,HAIL,275,IA,Boone,KDMX,41.88,-93.85,,,,,41.88,-93.85,,,0,0,,,,1,duplicate,,,,,,
20040524-storm1,2004-H-009552-01,5/25/04,2004,5,25,140,,HAIL,275,OK,Comanche,KFDR,34.43,-98.65,,,232159,24231,34.5807,-99.2922,34.3332,-98.1456,0,0,0,,,,,,,,,,
20040527-storm1,2004-H-008826-01,5/27/04,2004,5,27,2210,,HAIL,200,OH,Greene,KILN,39.68,-83.93,,,212100,232136,39.8306,-84.4512,39.2818,-82.9451,0,0,1,2221,,,,,,,,,
20040527-storm2,2004-T-000160-01,5/27/04,2004,5,27,2230,,TORNADO,0,WA,Clark,KRTX,45.87,-122.67,45.87,-122.67,212653,223207,45.7526,-122.9429,45.9399,-122.5631,0,0,0,,,,,,,,,,
20040527-storm3,2004-T-001142-01,5/27/04,2004,5,27,2245,,TORNADO,1,OH,Fayette,KILN,39.4,-83.38,39.43,-83.5,,,39.4,-83.38,,,0,0,,,,1,duplicate,,,,,,
20040529-storm1,2004-H-003600-01,5/30/04,2004,5,30,116,,HAIL,250,KS,Sumner,KICT,37.38,-97.68,,,,,37.38,-97.68,,,0,0,,,,1,radar data won't load,,,,,,
20040529-storm2,2004-T-000804-01,5/30/04,2004,5,30,142,,TORNADO,3,KS,Sumner,KICT,37.37,-97.63,37.4,-97.62,,,37.37,-97.63,,,0,0,,,,1,radar data won't load & duplicate,,,,,,
20040529-storm3,2004-H-003609-01,5/30/04,2004,5,30,207,,HAIL,250,KS,Sedgwick,KICT,37.48,-97.65,,,,,37.48,-97.65,,,0,0,,,,1,radar data won't load & duplicate,,,,,,
20040529-storm4,2004-W-003418-01,5/30/04,2004,5,30,232,,WIND,70,KS,Sumner,KICT,37.4,-97.23,,,,,37.4,-97.23,,,0,0,,,,1,radar data won't load & possible duplicate,,,,,,
20040529-storm4,2004-T-000986-01,5/30/04,2004,5,30,642,,TORNADO,0,OK,Wagoner,KINX,35.95,-95.43,35.97,-95.38,50141,73656,35.9274,-96.3511,36.2684,-94.9255,0,0,0,,,,,,,,,,
20040529-storm5,2004-T-000987-01,5/30/04,2004,5,30,651,,TORNADO,1,OK,Mayes,KINX,36.12,-95.22,36.13,-95.23,,,36.12,-95.22,,,0,0,,,,1,duplicate,,,,,,
20040530-storm1,2004-T-001032-01,5/30/04,2004,5,30,1922,,TORNADO,0,KY,Todd,KHPX,36.9,-87.15,36.92,-87.13,,,36.9,-87.15,,,0,0,,,,1,radar missing,,,,,,
20040530-storm1,2004-W-004154-01,5/30/04,2004,5,30,2050,,WIND,70,KY,Jefferson,KLVX,38.23,-85.78,,,193857,213731,38.153,-86.4069,38.3604,-85.1958,0,0,1,2025 2051 2121,,,,,,,,,
20040530-storm2,2004-W-004156-01,5/30/04,2004,5,30,2110,1,WIND,70,KY,Jefferson,KLVX,38.1,-85.77,,,200835,215014,37.9955,-86.3372,38.1982,-85.2344,0,0,0,,,,,,,,,,
20040530-storm3,2004-T-001131-02,5/30/04,2004,5,30,2319,,TORNADO,1,IN,Hendricks,KIND,39.6,-86.53,39.6,-86.52,,,39.6,-86.53,,,0,0,,,,1,radar data incomplete,,,,,,
20040530-storm4,2004-T-001134-02,5/31/04,2004,5,31,47,,TORNADO,0,IN,Hancock,KIND,39.82,-85.95,39.83,-85.92,,,39.82,-85.95,,,0,0,,,,1,radar data incomplete & duplicate,,,,,,
20040602-storm1,2004-H-009681-01,6/2/04,2004,6,2,2022,,HAIL,250,OK,LeFlore,KSRX,35.17,-94.67,,,195021,204348,35.1323,-94.8386,35.1402,-94.6377,0,0,0,,,,,,,,,,
20040604-storm1,2004-H-011931-01,6/4/04,2004,6,4,2216,,HAIL,275,TX,Shackelford,KDYX,32.73,-99.22,,,,,32.73,-99.22,,,0,0,,,,1,radar data not available,,,,,,
20040604-storm2,2004-H-011959-01,6/5/04,2004,6,5,54,,HAIL,200,TX,Callahan,KDYX,32.4,-99.5,,,,,32.4,-99.5,,,0,0,,,,1,radar data not available,,,,,,
20040609-storm1,2004-H-000627-01,6/9/04,2004,6,9,2100,,HAIL,225,CO,Arapahoe,KFTG,39.57,-104.72,,,204843,211832,39.5677,-104.7622,39.7863,-104.7277,0,0,1,2109,,,,,,,,,
20040610-storm1,2004-T-001380-01,6/11/04,2004,6,11,249,,TORNADO,1,NE,Webster,KUEX,40.02,-98.65,40.18,-98.48,15955,45226,39.8134,-99.0125,40.7818,-97.9041,0,0,0,,,,,,,,,,
20040612-storm1,2004-H-003835-01,6/13/04,2004,6,13,20,,HAIL,275,KS,Sedgwick,KICT,37.5,-97.27,,,222413,22048,37.3543,-97.8206,37.4508,-96.6399,0,0,1,2312 0023,,,,,,,,,
20040612-storm2,2004-T-001228-01,6/13/04,2004,6,13,25,,TORNADO,3,KS,Sumner,KICT,37.47,-97.23,37.43,-97.18,,,37.47,-97.23,,,0,0,,,,1,duplicate,,,,,,
20040617-storm1,2004-T-000275-01,6/17/04,2004,6,17,2010,,TORNADO,0,PA,Susquehanna,KBGM,41.95,-76.1,41.95,-76.08,181000,204847,42.2405,-76.8806,41.8843,-75.9277,0,0,0,,,,,,,,,,
20040618-storm1,2004-T-000201-01,6/18/04,2004,6,18,1905,,TORNADO,0,MO,St.Charles,KLSX,38.65,-90.92,38.67,-90.88,,,38.65,-90.92,,,0,0,,,,1,radar data not available,,,,,,
20040618-storm2,2004-H-001769-01,6/19/04,2004,6,19,5,,HAIL,275,IL,Johnson,KPAH,37.37,-89.02,,,230603,1722,37.5114,-89.3756,37.264,-88.9333,0,0,1,2,,,,,,,,,
20040621-storm1,2004-T-001354-01,6/22/04,2004,6,22,11,,TORNADO,0,TX,Potter,KAMA,35.18,-102.12,35.18,-102.12,,,35.18,-102.12,,,0,0,,,,1,radar data not available,,,,,,
